query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
absence of hydrochloric acid,C0001075,Achlorhydria,1,,50,35.8745,,and_definitions;phrase_definitions,,Absence of hydrochloric acid in the gastric juice.
accumulation of lactic acid,C0001125,"Acidosis, Lactic",1,,50,31.9879,,and_definitions;phrase_definitions,,Acidosis caused by accumulation of lactic acid more rapidly than it can be metabolized. It may occur spontaneously or in association with diseases such as DIABETES MELLITUS; LEUKEMIA; or LIVER FAILURE.
absence of blood circulation,C0022116,Ischemia,1,,50,18.5720,,and_definitions;phrase_definitions,,"A hypoperfusion of the BLOOD through an organ or tissue caused by a PATHOLOGIC CONSTRICTION or obstruction of its BLOOD VESSELS, or an absence of BLOOD CIRCULATION."
inflammation of the appendages,C0001577,Adnexitis,1,,50,38.8902,,and_definitions;phrase_definitions,,Inflammation of the appendages of the uterus.
secretion of adrenal hormones,C0001622,Adrenal Gland Hyperfunction,1,,50,25.4843,,and_definitions;phrase_definitions,,abnormally increased secretion of adrenal hormones.
swelling of internal organs,C0001206,Acromegaly,1,,50,8.9715,,and_definitions;phrase_definitions,,"A syndrome characterized by enlargement of the hands, feet, ears, nose, lips, and tongue, skin thickening and swelling of internal organs. It is caused by overproduction of growth hormone in the pituitary gland, usually by a pituitary adenoma."
chronic destructive infection,C0034188,"Pyelonephritis, Xanthogranulomatous",1,,50,25.8182,,and_definitions;phrase_definitions,,"Chronic, destructive infection of the kidney characterized by lipid-laden macrophages in the setting of obstruction secondary to infected renal stones, most commonly caused by Proteus or Escherichia coli."
skin color without elevation,C1842774,Hypermelanotic macule,1,,50,60.8065,,and_definitions;phrase_definitions,,A hyperpigmented circumscribed area of change in normal skin color without elevation or depression of any size. [https://orcid.org/0000-0003-1773-4011]
skin with recent exposure,C0031736,Polymorphous light eruption,1,,50,34.4079,,and_definitions;phrase_definitions,,"A red, edematous rash that occurs on areas of the skin with recent exposure to sunlight."
